# Assignable

"role.rocketU.name" : "ロケット"
"role.rocketU.short" : "ロ"
"role.rocketU.blurb" : "大気圏ツアー、ご案内"

# Document

"role.rocketU.doc" : "プレイヤーをロケットと共に打ち上げるインポスターです。"
"role.rocketU.ability.title" : "固有能力 "ロケット発射！""
"role.rocketU.ability.main" : "ロケットはプレイヤーをロケットにくくりつけて発射し、死体が発生しないキルをすることができます<br>一度に何人でもつかむことができますが、掴んでいる途中でも会議に入ることはできます。<br>発射した際には全員から大きな音が聞こえるので、キルのタイミングを把握されてしまいます。"
"role.rocketU.ability.hold" : "<title>掴む</title>プレイヤーを掴みます。二人目以降を掴む場合はクールタイムが変化します。"
"role.rocketU.ability.launch" : "<title>発射</title>プレイヤーを発射します。掴んでいるプレイヤーが複数人の場合は全員を発射します"
"role.rocketU.tips" : "ロケットがプレイヤーをつかんだ状態で会議に入り、ロケットのプレイヤーが追放されなかった場合は<br>会議後につかまれているプレイヤーが死亡します"

# Options

"options.role.rocketU.detail" : "ロケットはプレイヤーをつかんで空へ打ち上げることができるインポスターです。<br>打ち上げられたプレイヤーの死体は残りませんが全員に大きな音が聞こえます"
"options.role.rocketU.holdCooldown" : "掴みクールダウン"
"options.role.rocketU.nextHoldCooldown" : "二人目以降の掴みクールダウン"
"options.role.rocketU.launchCooldown" : "発射クールダウン"
"options.role.rocketU.canUseNormalKill" : "通常キル使用可能"
"options.role.rocketU.canCounter" : "掴まれているプレイヤーがカウンター可能"

# Game


# UI

"button.label.Hold" : "掴む"
"button.label.Launch" : "発射"

# Stats

"statistics.Launch" : "打ち上げ"

# Titles
