# Assignable

"role.voyagerU.name" : "ボイジャー"
"role.voyagerU.short" : "ボイ"
"role.voyagerU.blurb" : "時の旅人"

# Document

"role.voyagerU.doc" : "次元を越えるインポスターです。"
"role.voyagerU.ability.title" : "固有能力 "パラレルダイブ""
"role.voyagerU.ability.main" : "次元に潜伏することが出来ます。一定時間内に離脱しないと死亡してしまいます。"
"role.voyagerU.ability.dive" : "<title>潜伏</title>新たな次元へ移動します。<br>潜伏中は他プレイヤーの見た目がシャッフルされます。<br>潜伏中は透明化し、速度が上昇します。"
"role.voyagerU.ability.away" : "<title>離脱</title>次元から離脱します。"
# Options

"options.role.voyagerU.detail" : "ボイジャーは次元を越え行き来するインポスターです。"
"options.role.voyagerU.diveCooldown" : "潜伏クールダウン"
"options.role.voyagerU.diveDuration" : "潜伏持続時間"
"options.role.voyagerU.speedRatio" : "潜伏中の速度"

# Game


# UI

"button.label.pdiver.dive" : "潜伏"
"button.label.pdiver.away" : "離脱" 
"role.voyagerU.paradoxTimerText" : "パラドックスまで"

# Stats

"state.paradox" : "パラドックス"

# Titles
