# Assignable

"role.witchU.name" : "ウィッチ"
"role.witchU.short" : "ウィ"
"role.witchU.blurb" : "死の詠唱者"

# Document

"role.witchU.doc" : "プレイヤーを呪うインポスターです。"

# Options

"options.role.witchU.detail" : "ウィッチは他プレイヤーに魔法をかけるインポスターです。<br>魔法がつけられたプレイヤーは、会議でウィッチを追放・推察しないと死亡してしまいます。"
"options.role.witchU.spellCooldown" : "魔術クールダウン"
"options.role.witchU.numOfOneTurnSpell" : "1ターンの最大魔術使用可能数"
"option.role.witchU.witchNormalKill" : "通常キル使用可能"

# Game


# UI

"button.label.Spell" : "魔術"

# Stats

"witch.spell" : "魔術"

# Titles

"achievement.witchU.common1.title" : "死の魔術"
"achievement.witchU.common1.goal" : "魔術でキルをする。"
"achievement.witchU.common1.cond" : ""

"achievement.witchU.another1.title" : "武の時代"
"achievement.witchU.another1.goal" : "魔術を使用せず、ゲームを終える。"
"achievement.witchU.another1.cond" : ""
"achievement.witchU.another1.splitted.2" : "時代"

"achievement.witchU.another2.title" : "詠唱失敗"
"achievement.witchU.another2.goal" : "自身が追放・推察され、魔術でのキルを失敗する"
"achievement.witchU.another2.cond" : ""
"achievement.witchU.another2.flavor" : ""ANNOUNCE" マナ不足です。"

"achievement.witchU.hard1.title" : "まだ、終わらない"
"achievement.witchU.hard1.goal" : "魔術を使った次の会議で、ウィッチ以外のプレイヤーが追放される。"
"achievement.witchU.hard1.cond" : ""

"achievement.witchU.challenge1.title" : "灰燼なるワルプルギス"
"achievement.witchU.challenge1.goal" : "同時に3人以上のプレイヤーに魔術を付与する。"
"achievement.witchU.challenge1.cond" : ""
